Customer_ID,Age,Gender,City,Bank_Name,Account_Balance_PKR,Loan_Status,Credit_Score,Account_Type,Churn
39,61,Female,Faisalabad,Bank Alfalah,1351516,No,634,Current,0
40,69,Male,Karachi,UBL,109345,Yes,878,Savings,1
41,20,Female,Islamabad,HBL,1961253,Yes,410,Savings,1
42,54,Male,Karachi,Meezan Bank,617415,No,790,Current,1
43,68,Male,Lahore,Allied Bank,773536,No,571,Savings,1
44,24,Female,Karachi,Meezan Bank,1619253,No,333,Savings,1
45,38,Female,Faisalabad,Meezan Bank,1324072,Yes,511,Current,1
46,26,Female,Rawalpindi,UBL,394287,Yes,599,Savings,1
47,56,Male,Karachi,HBL,486814,No,672,Savings,1
48,35,Female,Karachi,Bank Alfalah,693532,Yes,424,Savings,1
49,21,Male,Islamabad,UBL,676297,No,402,Savings,1
50,42,Female,Faisalabad,Allied Bank,627945,Yes,419,Current,1
51,31,Male,Rawalpindi,Meezan Bank,1531930,No,846,Current,1
52,67,Female,Lahore,Allied Bank,903708,No,630,Savings,0
53,26,Male,Karachi,UBL,1933680,No,608,Savings,1
54,43,Female,Rawalpindi,UBL,1780417,No,869,Savings,1
55,19,Male,Lahore,Bank Alfalah,488564,No,711,Savings,1
56,37,Female,Faisalabad,Meezan Bank,214581,No,698,Current,1
57,45,Female,Faisalabad,UBL,951056,Yes,605,Current,1
58,64,Male,Rawalpindi,Allied Bank,941622,No,462,Savings,0
59,24,Female,Lahore,Bank Alfalah,21290,No,364,Savings,0
60,61,Male,Faisalabad,Allied Bank,821555,No,515,Savings,1
61,25,Male,Rawalpindi,Meezan Bank,222991,No,325,Savings,1
62,64,Female,Faisalabad,Bank Alfalah,1110712,No,883,Current,1
63,52,Male,Faisalabad,Bank Alfalah,991390,Yes,343,Savings,0
64,31,Female,Faisalabad,Bank Alfalah,127278,No,389,Savings,1
65,34,Female,Islamabad,HBL,1543784,No,432,Current,1
66,53,Male,Lahore,Bank Alfalah,1473219,No,460,Savings,0
67,67,Female,Rawalpindi,Allied Bank,1585121,No,679,Current,0
68,57,Male,Rawalpindi,Allied Bank,1650597,Yes,560,Current,1
69,21,Male,Lahore,Meezan Bank,1722158,Yes,682,Savings,1
70,19,Female,Lahore,UBL,1214835,No,668,Current,0
71,23,Female,Lahore,UBL,745048,No,410,Savings,1
72,59,Male,Lahore,HBL,1472573,Yes,376,Savings,1
73,21,Male,Karachi,Bank Alfalah,1708754,No,508,Current,0
74,46,Female,Rawalpindi,HBL,398826,Yes,312,Current,1
75,35,Female,Karachi,Meezan Bank,414220,No,869,Current,0
76,43,Female,Faisalabad,Meezan Bank,379322,Yes,847,Savings,1
77,61,Female,Faisalabad,UBL,854032,Yes,324,Savings,1
78,51,Male,Rawalpindi,Meezan Bank,1215163,No,845,Savings,0
79,27,Female,Faisalabad,Bank Alfalah,1663816,No,439,Savings,0
80,53,Male,Lahore,Allied Bank,1523480,No,574,Savings,0
81,31,Male,Karachi,Meezan Bank,1524500,No,669,Current,0
82,48,Female,Lahore,HBL,520798,Yes,521,Current,0
83,65,Male,Faisalabad,Bank Alfalah,1979265,Yes,336,Current,0
84,32,Female,Karachi,Meezan Bank,1149464,No,428,Savings,0
85,25,Male,Lahore,Meezan Bank,1307068,Yes,615,Savings,0
86,31,Female,Rawalpindi,Bank Alfalah,657899,No,622,Savings,0
87,40,Male,Lahore,Meezan Bank,588764,No,732,Savings,1
88,57,Male,Faisalabad,Allied Bank,1416999,No,517,Savings,1
89,38,Female,Karachi,UBL,958716,Yes,547,Current,0
90,33,Female,Rawalpindi,Bank Alfalah,102154,No,410,Savings,1
91,62,Male,Karachi,HBL,1002201,Yes,446,Current,0
92,35,Male,Rawalpindi,Meezan Bank,1181113,No,643,Savings,0
93,64,Female,Karachi,UBL,1762469,Yes,808,Current,1
94,41,Male,Faisalabad,HBL,224075,Yes,804,Savings,0
95,43,Female,Rawalpindi,HBL,359269,Yes,851,Savings,0
96,42,Male,Islamabad,Allied Bank,1227278,Yes,433,Current,0
97,62,Female,Karachi,UBL,996110,No,763,Savings,0
98,58,Male,Karachi,Bank Alfalah,775604,Yes,490,Savings,1
99,46,Female,Lahore,UBL,1394819,Yes,462,Savings,0
100,32,Female,Rawalpindi,UBL,494006,No,755,Current,1
101,62,Male,Islamabad,HBL,1827171,Yes,360,Current,1
102,18,Female,Faisalabad,Allied Bank,1711833,No,304,Savings,0
103,42,Male,Lahore,Allied Bank,419801,Yes,336,Current,1
104,24,Female,Islamabad,UBL,1678697,No,759,Current,1
105,26,Female,Rawalpindi,UBL,845672,Yes,516,Current,1
106,41,Female,Islamabad,Meezan Bank,811204,Yes,438,Current,1
107,18,Male,Karachi,HBL,1793927,Yes,398,Current,0
108,61,Female,Karachi,Bank Alfalah,1523627,Yes,563,Savings,0
109,25,Male,Lahore,Bank Alfalah,1265372,No,898,Savings,0
110,41,Female,Rawalpindi,Allied Bank,383134,Yes,895,Savings,1
111,28,Male,Rawalpindi,HBL,122315,No,523,Current,1
112,68,Male,Islamabad,Allied Bank,1017803,No,310,Current,0
113,34,Male,Lahore,Bank Alfalah,370197,No,626,Current,1
114,25,Female,Rawalpindi,UBL,1932099,No,649,Savings,1
115,52,Male,Karachi,HBL,1808795,Yes,678,Savings,0
116,52,Female,Islamabad,HBL,1731874,Yes,530,Savings,1
117,50,Male,Faisalabad,Meezan Bank,1735919,Yes,440,Savings,1
118,22,Male,Karachi,UBL,678234,Yes,348,Savings,0
119,59,Male,Lahore,UBL,100341,Yes,750,Savings,0
120,56,Male,Rawalpindi,Allied Bank,1119472,Yes,790,Savings,0
121,58,Female,Karachi,HBL,1498001,No,504,Savings,0
122,45,Male,Faisalabad,Allied Bank,42822,No,708,Current,0
123,24,Male,Faisalabad,UBL,686110,Yes,706,Current,0
124,26,Female,Lahore,Meezan Bank,898767,Yes,350,Current,0
125,25,Male,Karachi,HBL,969587,Yes,474,Savings,1
126,29,Male,Islamabad,UBL,1176404,No,560,Savings,0
127,51,Male,Karachi,Meezan Bank,394910,Yes,779,Savings,1
128,50,Male,Faisalabad,Bank Alfalah,1741882,Yes,522,Current,0
129,65,Female,Lahore,UBL,1055449,Yes,568,Savings,1
130,40,Female,Lahore,Bank Alfalah,142624,No,617,Current,1
131,41,Male,Islamabad,Allied Bank,345475,No,684,Current,1
132,54,Female,Lahore,Bank Alfalah,146343,Yes,885,Savings,1
133,52,Female,Lahore,UBL,1925209,No,518,Current,1
134,61,Male,Lahore,Bank Alfalah,862083,No,353,Savings,0
135,57,Female,Lahore,HBL,898349,No,499,Current,0
136,39,Male,Lahore,UBL,170066,Yes,638,Savings,0
137,44,Female,Faisalabad,Meezan Bank,1347906,Yes,604,Savings,1
138,52,Female,Karachi,Bank Alfalah,1088843,No,544,Savings,1
139,18,Female,Rawalpindi,HBL,1884148,No,507,Current,1
140,52,Male,Lahore,Allied Bank,1828370,No,810,Savings,0
141,54,Female,Rawalpindi,Allied Bank,952439,Yes,558,Savings,1
142,64,Male,Rawalpindi,Bank Alfalah,828180,No,679,Savings,1
143,31,Male,Faisalabad,Allied Bank,1673003,No,462,Savings,0
144,20,Female,Lahore,Meezan Bank,407053,Yes,640,Savings,0
145,18,Male,Rawalpindi,UBL,1647739,No,875,Current,0
146,22,Female,Lahore,HBL,1553629,No,829,Current,1
147,43,Male,Islamabad,Bank Alfalah,1252342,Yes,333,Current,1
148,31,Male,Islamabad,Allied Bank,412826,No,622,Savings,0
149,56,Female,Islamabad,UBL,1087191,No,480,Savings,1
150,44,Female,Rawalpindi,Meezan Bank,217716,No,646,Savings,1
151,26,Female,Islamabad,Allied Bank,900567,No,491,Current,1
152,32,Female,Faisalabad,Allied Bank,1474139,Yes,878,Current,1
153,32,Male,Faisalabad,HBL,568350,Yes,545,Savings,0
154,43,Male,Rawalpindi,Meezan Bank,1900130,Yes,544,Current,1
155,59,Male,Lahore,Meezan Bank,189503,No,432,Current,1
156,30,Female,Karachi,Bank Alfalah,1131662,Yes,496,Savings,0
157,68,Male,Lahore,HBL,1348925,Yes,646,Current,1
158,49,Female,Lahore,Bank Alfalah,814891,No,348,Savings,1
159,56,Male,Lahore,HBL,1826070,Yes,363,Current,0
160,66,Female,Lahore,Meezan Bank,252407,No,403,Current,1
161,69,Male,Karachi,HBL,951254,No,512,Current,0
162,49,Male,Islamabad,HBL,1299821,No,816,Savings,1
163,21,Female,Lahore,HBL,1872737,Yes,418,Current,1
164,47,Male,Faisalabad,UBL,260967,Yes,541,Savings,1
165,54,Female,Rawalpindi,UBL,1057941,No,579,Current,0
166,40,Male,Rawalpindi,Meezan Bank,835017,Yes,723,Savings,1
167,56,Male,Faisalabad,HBL,1142274,No,662,Savings,1
168,62,Female,Lahore,Meezan Bank,55635,Yes,605,Savings,0
169,32,Female,Karachi,UBL,185926,Yes,785,Current,1
170,60,Male,Islamabad,HBL,741586,Yes,613,Savings,1
171,46,Male,Rawalpindi,Bank Alfalah,563392,Yes,812,Current,1
172,53,Male,Islamabad,UBL,1009797,Yes,466,Savings,0
173,30,Male,Karachi,UBL,286914,No,693,Savings,0
174,49,Male,Rawalpindi,UBL,269258,Yes,362,Savings,0
175,24,Male,Islamabad,HBL,925182,Yes,571,Savings,1
176,68,Female,Karachi,Allied Bank,777993,Yes,336,Current,0
177,39,Female,Islamabad,Bank Alfalah,918677,Yes,315,Current,1
178,45,Female,Lahore,Bank Alfalah,1527785,Yes,642,Savings,0
179,19,Male,Karachi,Meezan Bank,1969019,No,645,Current,0
180,59,Male,Islamabad,HBL,1560130,No,838,Current,1
181,62,Male,Lahore,UBL,1731893,No,532,Savings,0
182,23,Female,Lahore,Allied Bank,1113754,Yes,875,Current,0
183,45,Female,Karachi,HBL,891587,Yes,715,Current,1
184,45,Male,Faisalabad,HBL,555116,No,566,Savings,1
185,61,Male,Rawalpindi,Allied Bank,813603,No,625,Current,1
186,61,Female,Karachi,UBL,1813785,No,742,Savings,1
187,37,Female,Lahore,HBL,1513257,No,859,Current,1
188,47,Female,Lahore,Bank Alfalah,514879,Yes,375,Savings,1
189,28,Male,Karachi,Bank Alfalah,1989226,No,546,Current,1
190,45,Male,Faisalabad,Allied Bank,1968257,Yes,879,Current,1
191,42,Male,Rawalpindi,UBL,533277,No,612,Current,0
192,56,Female,Islamabad,Allied Bank,531827,Yes,875,Current,1
193,50,Female,Karachi,HBL,1760202,Yes,891,Current,0
194,18,Male,Rawalpindi,Bank Alfalah,269595,Yes,642,Savings,1
195,44,Male,Rawalpindi,Meezan Bank,1759875,No,481,Current,1
196,69,Female,Lahore,Allied Bank,24202,Yes,698,Savings,0
197,30,Male,Islamabad,Meezan Bank,1751078,Yes,540,Savings,0
198,58,Female,Karachi,Meezan Bank,467044,No,591,Current,0
199,20,Female,Lahore,Bank Alfalah,1145943,No,353,Savings,1
200,56,Male,Lahore,Allied Bank,593334,No,444,Current,1
201,23,Female,Faisalabad,Meezan Bank,1330569,No,655,Current,1
202,25,Male,Rawalpindi,HBL,462488,No,897,Current,1
203,44,Female,Karachi,UBL,685799,No,776,Current,0
204,26,Female,Karachi,UBL,1796462,Yes,321,Savings,1
205,54,Male,Karachi,Bank Alfalah,351016,Yes,630,Current,0
206,50,Female,Lahore,Allied Bank,1618208,No,591,Current,1
207,68,Male,Faisalabad,Allied Bank,194348,No,535,Current,1
208,59,Male,Islamabad,UBL,408267,Yes,328,Savings,0
209,61,Female,Lahore,HBL,976978,Yes,459,Savings,1
210,41,Male,Islamabad,UBL,1134180,Yes,829,Savings,0
211,32,Male,Faisalabad,UBL,270408,No,849,Savings,1
212,49,Male,Rawalpindi,Allied Bank,944471,Yes,400,Current,1
213,49,Male,Karachi,Meezan Bank,949277,Yes,589,Savings,1
214,41,Male,Islamabad,HBL,1823241,No,676,Savings,1
215,58,Male,Lahore,Allied Bank,892982,No,472,Savings,1
216,69,Female,Islamabad,UBL,1657247,No,642,Savings,0
217,66,Male,Rawalpindi,Meezan Bank,1260065,Yes,878,Current,1
218,66,Female,Karachi,HBL,1099758,No,490,Current,1
219,69,Female,Islamabad,Bank Alfalah,388954,Yes,738,Savings,1
220,29,Male,Rawalpindi,HBL,204661,Yes,854,Savings,1
221,56,Female,Lahore,HBL,1000739,No,642,Current,0
222,19,Female,Faisalabad,UBL,1082756,Yes,424,Current,1
223,20,Male,Lahore,UBL,1828285,No,851,Current,0
224,66,Male,Karachi,Bank Alfalah,1516164,No,659,Current,0
225,54,Male,Lahore,Bank Alfalah,1109948,No,802,Savings,0
226,66,Female,Lahore,Bank Alfalah,1162003,No,472,Savings,0
227,34,Female,Lahore,Allied Bank,1566307,Yes,693,Current,0
228,66,Male,Lahore,Allied Bank,1651950,No,760,Savings,1
229,19,Male,Karachi,UBL,1342883,Yes,419,Savings,0
230,19,Female,Rawalpindi,UBL,774298,Yes,572,Savings,0
231,45,Female,Islamabad,Bank Alfalah,728449,No,657,Current,0
232,40,Female,Faisalabad,Allied Bank,391760,Yes,685,Current,0
233,54,Female,Islamabad,Meezan Bank,236283,No,618,Current,0
234,49,Male,Islamabad,Allied Bank,1300129,No,560,Current,0
235,50,Female,Faisalabad,UBL,1091510,No,580,Savings,1
236,18,Female,Karachi,Allied Bank,589883,Yes,628,Current,1
237,36,Female,Faisalabad,UBL,1609456,No,423,Current,0
238,19,Female,Karachi,Bank Alfalah,247685,No,775,Savings,0
239,61,Male,Islamabad,Bank Alfalah,1605903,Yes,577,Current,0
240,43,Male,Karachi,Bank Alfalah,904737,No,392,Savings,0
241,49,Female,Rawalpindi,Meezan Bank,1409982,No,846,Current,0
242,23,Female,Faisalabad,Meezan Bank,765870,No,427,Savings,1
243,49,Male,Rawalpindi,UBL,1973391,No,831,Savings,1
244,21,Male,Islamabad,HBL,44018,No,466,Savings,1
245,28,Female,Faisalabad,Meezan Bank,1373878,No,535,Savings,1
246,34,Female,Islamabad,UBL,267061,Yes,331,Current,1
247,55,Male,Rawalpindi,Allied Bank,1456350,No,530,Savings,1
248,41,Male,Islamabad,Bank Alfalah,1352894,No,490,Savings,0
249,22,Male,Faisalabad,Bank Alfalah,892373,No,890,Current,0
250,69,Male,Faisalabad,Bank Alfalah,1232279,No,807,Savings,1
251,51,Male,Islamabad,UBL,995191,Yes,756,Savings,0
252,23,Male,Faisalabad,Bank Alfalah,1948389,No,554,Current,1
253,39,Female,Faisalabad,Meezan Bank,680912,Yes,578,Current,1
254,28,Male,Islamabad,Allied Bank,962569,No,355,Current,1
255,65,Male,Rawalpindi,Bank Alfalah,641820,No,405,Savings,0
256,33,Male,Faisalabad,UBL,1978694,Yes,880,Savings,0
257,50,Male,Faisalabad,Allied Bank,831079,Yes,491,Current,1
258,26,Female,Faisalabad,Bank Alfalah,67940,No,577,Current,0
259,23,Female,Faisalabad,HBL,1190268,No,843,Current,1
260,33,Male,Islamabad,Bank Alfalah,1737018,No,474,Savings,0
261,46,Female,Rawalpindi,Meezan Bank,687251,No,384,Savings,0
262,20,Female,Rawalpindi,Allied Bank,1165142,No,515,Current,1
263,37,Female,Karachi,Meezan Bank,858827,No,313,Savings,1
264,53,Female,Faisalabad,HBL,1109531,Yes,336,Savings,1
265,36,Female,Faisalabad,HBL,304458,No,326,Savings,1
266,43,Female,Karachi,Meezan Bank,426716,No,875,Current,0
267,20,Male,Rawalpindi,Allied Bank,1112261,No,369,Current,1
268,36,Male,Lahore,HBL,658235,Yes,453,Savings,0
269,37,Male,Lahore,HBL,1909791,Yes,737,Current,1
270,49,Male,Rawalpindi,Bank Alfalah,110229,Yes,570,Savings,0
271,24,Male,Faisalabad,UBL,846621,No,840,Savings,1
272,69,Female,Lahore,HBL,365698,Yes,373,Current,1
273,58,Male,Islamabad,Allied Bank,1078143,No,870,Current,1
274,50,Male,Islamabad,Allied Bank,1477770,No,448,Current,0
275,57,Female,Karachi,Bank Alfalah,1396809,No,805,Savings,0
276,56,Female,Rawalpindi,Allied Bank,674990,No,309,Current,1
277,35,Male,Rawalpindi,Bank Alfalah,1463795,No,801,Savings,0
278,57,Female,Lahore,HBL,1362164,No,361,Savings,1
279,18,Female,Faisalabad,HBL,96184,No,687,Savings,0
280,28,Female,Rawalpindi,HBL,1745543,Yes,531,Savings,1
281,45,Female,Lahore,HBL,1345541,Yes,883,Savings,1
282,42,Male,Lahore,UBL,548889,Yes,827,Current,0
283,67,Female,Rawalpindi,UBL,711264,No,849,Savings,0
284,40,Male,Lahore,HBL,1171458,Yes,744,Savings,0
285,48,Male,Karachi,Allied Bank,1916665,No,620,Current,1
286,47,Female,Karachi,Bank Alfalah,1752493,Yes,382,Savings,0
287,59,Female,Rawalpindi,Meezan Bank,1766459,Yes,733,Current,0
288,52,Female,Faisalabad,Bank Alfalah,353990,No,316,Savings,0
289,24,Male,Karachi,Meezan Bank,1371222,Yes,668,Current,0
290,33,Female,Karachi,Meezan Bank,133409,No,881,Current,0
291,43,Female,Rawalpindi,HBL,32098,Yes,882,Current,1
292,65,Female,Islamabad,Meezan Bank,186974,Yes,554,Current,1
293,69,Female,Lahore,HBL,1177078,Yes,755,Current,0
294,66,Female,Karachi,UBL,1803003,No,860,Savings,1
295,19,Male,Islamabad,Allied Bank,1753189,No,832,Current,0
296,18,Female,Faisalabad,Meezan Bank,1396236,Yes,691,Current,0
297,65,Female,Islamabad,Allied Bank,1838518,Yes,619,Current,1
298,29,Female,Rawalpindi,HBL,1102856,No,519,Savings,1
299,22,Male,Faisalabad,Meezan Bank,805383,Yes,713,Current,1
300,54,Female,Faisalabad,Bank Alfalah,1066693,Yes,331,Savings,1
301,49,Male,Islamabad,UBL,35979,No,315,Savings,1
302,26,Male,Rawalpindi,UBL,477741,Yes,708,Current,1
303,58,Female,Karachi,Meezan Bank,26915,Yes,472,Savings,1
304,52,Female,Islamabad,UBL,331405,No,478,Savings,0
305,36,Female,Karachi,Bank Alfalah,1546863,No,872,Savings,0
306,65,Male,Islamabad,Allied Bank,763020,No,796,Savings,0
307,33,Male,Karachi,Bank Alfalah,653113,No,403,Savings,1
308,20,Male,Islamabad,UBL,1823848,Yes,616,Current,0
309,37,Male,Faisalabad,Allied Bank,371046,No,887,Savings,0
310,41,Male,Lahore,Bank Alfalah,1393684,No,480,Savings,0
311,50,Male,Faisalabad,HBL,1017921,Yes,431,Savings,0
312,41,Female,Karachi,HBL,473656,No,454,Savings,1
313,69,Female,Rawalpindi,Allied Bank,1356397,No,658,Savings,0
314,28,Male,Faisalabad,Allied Bank,515071,Yes,534,Current,0
315,66,Female,Lahore,Allied Bank,1370550,No,464,Savings,0
316,25,Female,Karachi,HBL,980040,No,726,Savings,0
317,53,Male,Faisalabad,Bank Alfalah,543210,Yes,787,Savings,0
318,55,Male,Islamabad,Allied Bank,1155272,No,512,Current,1
319,57,Female,Rawalpindi,HBL,1126137,No,456,Current,0
320,37,Male,Karachi,Allied Bank,1333940,Yes,374,Current,0
321,52,Male,Faisalabad,Allied Bank,63380,Yes,734,Savings,0
322,65,Female,Karachi,Allied Bank,405982,No,477,Savings,0
323,42,Male,Islamabad,HBL,749378,No,611,Savings,0
324,52,Female,Lahore,Bank Alfalah,1704313,No,426,Savings,0
325,42,Female,Faisalabad,HBL,436375,Yes,676,Savings,1
326,46,Female,Karachi,HBL,283079,No,644,Savings,0
327,35,Female,Karachi,Allied Bank,275928,No,524,Savings,0
328,63,Female,Karachi,Meezan Bank,491802,Yes,316,Savings,1
329,35,Male,Lahore,Meezan Bank,685581,No,796,Savings,1
330,19,Male,Karachi,Meezan Bank,28069,No,772,Savings,0
331,52,Male,Rawalpindi,HBL,1441905,No,610,Savings,0
332,33,Male,Rawalpindi,Allied Bank,1094258,Yes,436,Current,1
333,58,Female,Karachi,Meezan Bank,1432267,Yes,774,Current,0
334,53,Female,Rawalpindi,UBL,1152879,No,516,Current,1
335,50,Male,Faisalabad,UBL,1972089,No,495,Current,0
336,21,Female,Rawalpindi,UBL,1922826,Yes,500,Savings,0
337,50,Male,Karachi,Bank Alfalah,1996190,No,665,Current,0
338,31,Male,Islamabad,Allied Bank,383413,Yes,827,Current,1
339,38,Male,Faisalabad,HBL,696592,Yes,699,Current,1
340,65,Female,Lahore,HBL,1054013,Yes,824,Current,1
341,37,Female,Karachi,Allied Bank,840705,Yes,889,Current,1
342,25,Female,Lahore,Bank Alfalah,65210,Yes,513,Savings,0
343,24,Female,Islamabad,Allied Bank,345335,No,640,Current,0
344,20,Male,Lahore,Bank Alfalah,1874469,Yes,628,Current,1
345,34,Female,Karachi,Meezan Bank,1849618,No,418,Savings,1
346,50,Female,Karachi,Meezan Bank,329117,No,724,Current,1
347,65,Female,Islamabad,Bank Alfalah,1010508,No,672,Savings,1
348,29,Male,Karachi,Allied Bank,1721519,Yes,478,Savings,0
349,68,Male,Islamabad,Meezan Bank,1084159,No,731,Savings,1
350,39,Female,Islamabad,Allied Bank,683061,No,701,Savings,0
351,39,Female,Karachi,Meezan Bank,279024,No,693,Current,1
352,63,Female,Rawalpindi,Allied Bank,1552445,Yes,865,Current,0
353,47,Female,Islamabad,Allied Bank,99257,No,378,Savings,1
354,55,Male,Karachi,UBL,1503637,Yes,723,Current,0
355,55,Female,Rawalpindi,Bank Alfalah,770872,Yes,417,Savings,0
356,62,Female,Islamabad,HBL,757750,No,667,Current,0
357,68,Female,Rawalpindi,Bank Alfalah,122024,No,405,Current,0
358,25,Male,Faisalabad,Allied Bank,1393137,Yes,404,Savings,0
359,44,Male,Faisalabad,Allied Bank,538010,Yes,602,Current,0
360,44,Female,Rawalpindi,Bank Alfalah,30077,No,447,Savings,0
361,51,Female,Islamabad,Allied Bank,1139444,No,449,Savings,0
362,38,Female,Karachi,Meezan Bank,1833016,No,555,Current,0
363,47,Female,Lahore,Allied Bank,1710294,No,381,Current,1
364,50,Female,Karachi,Bank Alfalah,1295176,No,315,Savings,1
365,45,Male,Lahore,Bank Alfalah,1333949,Yes,492,Savings,0
366,64,Male,Lahore,Bank Alfalah,345482,Yes,373,Current,1
367,50,Male,Islamabad,UBL,727039,Yes,576,Current,1
368,22,Female,Rawalpindi,UBL,1539429,Yes,360,Current,0
369,65,Male,Karachi,UBL,414655,Yes,835,Current,0
370,36,Male,Rawalpindi,UBL,1061174,No,834,Savings,1
371,21,Male,Faisalabad,UBL,626585,Yes,642,Current,0
372,52,Female,Islamabad,UBL,1980132,No,694,Current,0
373,66,Female,Islamabad,UBL,22741,Yes,557,Savings,0
374,34,Male,Faisalabad,Bank Alfalah,1127936,Yes,497,Current,1
375,61,Female,Karachi,HBL,1357008,No,352,Savings,1
376,45,Male,Faisalabad,UBL,142321,Yes,570,Savings,1
377,47,Male,Karachi,Bank Alfalah,164042,Yes,500,Current,0
378,46,Male,Lahore,HBL,25565,Yes,695,Current,0
379,63,Male,Islamabad,UBL,1377715,Yes,677,Savings,0
380,23,Female,Karachi,HBL,749354,No,834,Savings,0
381,52,Female,Rawalpindi,HBL,1634520,Yes,387,Current,0
382,58,Female,Rawalpindi,Meezan Bank,1628629,Yes,697,Savings,1
383,54,Female,Islamabad,Allied Bank,1715950,Yes,481,Savings,0
384,41,Male,Faisalabad,Meezan Bank,735840,Yes,582,Savings,1
385,46,Female,Faisalabad,HBL,240324,Yes,832,Savings,0
386,66,Male,Karachi,Bank Alfalah,124794,Yes,860,Savings,1
387,63,Female,Faisalabad,UBL,643275,Yes,489,Savings,0
388,48,Female,Islamabad,Allied Bank,417228,Yes,504,Savings,0
389,52,Female,Karachi,UBL,1842995,No,343,Current,0
390,50,Male,Lahore,Bank Alfalah,1292644,No,599,Savings,0
391,69,Male,Faisalabad,Allied Bank,329642,No,578,Current,1
392,38,Male,Faisalabad,Meezan Bank,865208,Yes,684,Savings,0
393,49,Male,Karachi,HBL,133675,Yes,610,Current,1
394,40,Female,Rawalpindi,Bank Alfalah,1120287,No,827,Savings,1
395,50,Male,Faisalabad,HBL,52530,No,573,Current,1
396,20,Male,Islamabad,HBL,220339,No,781,Current,0
397,35,Female,Faisalabad,UBL,523207,No,750,Current,0
398,42,Female,Lahore,Bank Alfalah,421234,Yes,831,Current,1
399,59,Male,Faisalabad,HBL,662524,No,830,Savings,0
400,48,Female,Rawalpindi,Meezan Bank,1862924,Yes,824,Savings,1
401,20,Male,Faisalabad,Allied Bank,1098952,No,316,Savings,1
402,57,Female,Karachi,Bank Alfalah,907145,Yes,329,Savings,0
403,63,Male,Faisalabad,UBL,650416,Yes,769,Current,0
404,41,Male,Rawalpindi,Bank Alfalah,730406,Yes,603,Savings,1
405,67,Male,Karachi,UBL,1248390,Yes,854,Savings,1
406,49,Male,Islamabad,Allied Bank,1668430,No,392,Savings,0
407,64,Male,Karachi,Meezan Bank,1397845,Yes,877,Savings,0
408,39,Female,Lahore,HBL,1670383,Yes,883,Current,0
409,40,Male,Karachi,Bank Alfalah,22437,No,461,Savings,1
410,19,Male,Islamabad,UBL,72146,No,627,Savings,1
411,44,Male,Faisalabad,Allied Bank,37618,No,553,Current,1
412,59,Male,Karachi,HBL,1240415,No,739,Current,0
413,19,Male,Karachi,Allied Bank,19705,Yes,870,Savings,1
414,43,Female,Karachi,Meezan Bank,1771082,No,843,Current,1
415,34,Female,Karachi,HBL,229288,Yes,419,Savings,1
